,points_scored,plus_minus,outcome,seconds_played_per_game,made_field_goals_percent,made_three_point_field_goals_percent,made_free_throws_percent,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,NAME,Start_Year,End_Year,Name_Year
0,12.41,-3.14,25,1709.04,44.56,37.08,82.08,0.23,1.71,2.65,0.62,0.36,1.51,1.13,8.74,Eric Gordon,2022,2023,Eric Gordon@@@2023
0,20.76,1.55,15,1980.07,49.53,36.59,87.41,1.66,6.48,4.83,0.69,0.59,2.97,3.83,16.2,Karl-Anthony Towns,2022,2023,Karl-Anthony Towns@@@2023
0,23.79,2.8,32,2077.45,45.72,37.09,87.07,0.8,5.3,5.14,1.48,0.36,3.14,2.84,17.45,Paul George,2022,2023,Paul George@@@2023
0,23.83,4.0,33,2016.48,51.21,41.6,87.1,1.1,5.4,3.92,1.38,0.54,1.69,1.62,19.81,Kawhi Leonard,2022,2023,Kawhi Leonard@@@2023
0,17.79,1.23,39,1947.13,46.94,39.59,82.87,0.49,2.54,6.15,0.99,0.41,2.62,1.97,14.02,Russell Westbrook,2022,2023,Russell Westbrook@@@2023
0,32.39,1.94,33,2173.2,49.62,34.2,74.21,0.82,7.8,8.02,1.36,0.5,3.58,2.52,25.95,Luka Doncic,2022,2023,Luka Doncic@@@2023
0,20.91,0.83,38,2119.03,43.68,38.86,76.89,0.73,3.64,5.72,0.93,0.51,2.44,2.04,14.84,CJ McCollum,2022,2023,CJ McCollum@@@2023
0,4.15,2.56,27,832.54,48.46,34.85,65.62,1.15,2.63,1.49,0.34,0.22,0.54,1.83,4.3,Blake Griffin,2022,2023,Blake Griffin@@@2023
0,17.42,6.74,41,1739.82,48.71,41.41,80.0,1.03,4.47,1.05,0.6,0.47,1.1,1.92,12.46,Michael Porter Jr.,2022,2023,Michael Porter Jr.@@@2023
0,19.25,7.18,50,1954.54,47.9,38.44,85.88,1.18,3.91,7.39,1.18,0.37,2.94,1.73,16.32,Jrue Holiday,2022,2023,Jrue Holiday@@@2023
0,20.39,1.56,40,2078.45,54.04,8.33,80.6,2.45,6.72,3.2,1.17,0.81,2.49,2.77,16.9,Bam Adebayo,2022,2023,Bam Adebayo@@@2023
0,22.91,0.73,35,2004.5,53.94,34.95,85.05,2.2,3.66,5.31,1.83,0.33,1.58,1.25,22.01,Jimmy Butler,2022,2023,Jimmy Butler@@@2023
0,3.43,0.02,21,588.35,52.0,33.33,71.43,0.65,1.24,0.69,0.31,0.24,0.53,1.71,2.65,Taj Gibson,2022,2023,Taj Gibson@@@2023
0,31.1,5.41,47,1927.16,55.32,27.49,64.51,2.17,9.6,5.7,0.83,0.81,3.9,3.13,24.27,Giannis Antetokounmpo,2022,2023,Giannis Antetokounmpo@@@2023
0,13.88,1.27,33,1920.63,44.01,37.55,83.12,0.46,3.8,8.88,1.54,0.37,1.93,2.14,14.46,Chris Paul,2022,2023,Chris Paul@@@2023
0,29.43,4.79,30,2079.84,49.34,42.72,91.46,0.7,5.39,6.29,0.93,0.36,3.2,2.09,22.74,Stephen Curry,2022,2023,Stephen Curry@@@2023
0,23.15,1.25,27,1956.51,49.8,38.48,85.1,1.75,6.65,2.68,0.89,1.54,2.11,3.02,18.68,Kristaps Porzingis,2022,2023,Kristaps Porzingis@@@2023
0,18.62,6.16,41,1702.35,50.61,35.46,78.76,1.71,5.05,0.95,1.03,3.0,1.7,3.6,15.09,Jaren Jackson Jr.,2022,2023,Jaren Jackson Jr.@@@2023
0,30.07,6.35,52,2215.32,46.63,34.99,85.37,1.05,7.72,4.62,1.05,0.69,2.88,2.16,22.84,Jayson Tatum,2022,2023,Jayson Tatum@@@2023
0,24.49,9.28,48,2020.06,63.21,38.26,82.17,2.42,9.42,9.83,1.26,0.68,3.58,2.52,25.99,Nikola Jokic,2022,2023,Nikola Jokic@@@2023
0,27.75,4.42,34,2077.85,49.39,35.13,85.47,0.87,3.66,5.53,0.96,0.34,2.74,3.0,20.09,Devin Booker,2022,2023,Devin Booker@@@2023
0,17.96,-0.52,36,1822.79,58.85,29.17,76.0,2.57,7.39,1.72,0.55,0.79,1.79,2.84,14.91,Deandre Ayton,2022,2023,Deandre Ayton@@@2023
0,17.95,-0.76,29,1766.27,54.84,37.35,78.26,1.42,6.1,1.44,0.58,2.26,1.66,3.47,14.82,Eric Bledsoe,2022,2023,Eric Bledsoe@@@2023
0,6.29,0.09,27,900.02,42.09,35.86,68.89,0.28,1.12,2.6,0.22,0.07,1.09,1.12,4.22,Goran Dragic,2022,2023,Goran Dragic@@@2023
0,25.91,3.57,31,2040.52,56.34,25.68,78.38,3.48,9.05,2.64,1.05,2.04,2.18,2.61,23.33,Anthony Davis,2022,2023,Anthony Davis@@@2023
0,13.41,-0.16,34,1841.53,65.93,0.0,64.41,3.3,8.33,1.24,0.8,1.36,1.74,3.0,13.81,Rudy Gobert,2022,2023,Rudy Gobert@@@2023
0,24.71,2.13,23,2050.93,48.38,39.02,88.24,0.51,4.96,5.82,0.71,0.42,3.29,2.58,17.64,Brandon Ingram,2022,2023,Brandon Ingram@@@2023
0,26.63,3.82,46,2153.67,49.1,33.47,76.45,1.16,5.69,3.46,1.12,0.39,2.94,2.57,18.12,Jaylen Brown,2022,2023,Jaylen Brown@@@2023
