points_scored,plus_minus,outcome,seconds_played_per_game,made_field_goals_percent,made_three_point_field_goals_percent,made_free_throws_percent,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,NAME_x,Start_Year_x,Age,Name_Year,File_Name,TEAM,SALARY,POSITION
9.55,0.52,48,1278.03,53.37,0.0,61.34,2.41,3.08,1.22,0.92,0.19,1.44,2.62,7.45,DeJuan Blair,2011,23,DeJuan Blair@@@2012,2011-2012_blairde01_regular_season_box_scores.csv,San Antonio Spurs,"$1,054,000",C
15.09,4.31,42,2058.29,69.3,0.0,63.03,3.38,10.09,1.49,0.75,1.99,1.91,3.16,16.15,Rudy Gobert,2019,26,Rudy Gobert@@@2020,2019-2020_goberru01_regular_season_box_scores.csv,Utah Jazz,"$27,525,281",C
20.56,3.78,6,2069.33,45.0,25.0,75.38,0.22,2.56,3.44,1.44,0.44,2.67,2.22,13.29,Eric Gordon,2011,22,Eric Gordon@@@2012,2011-2012_gordoer01_regular_season_box_scores.csv,New Orleans Hornets,"$13,668,750",SG
12.46,7.1,60,1719.73,45.17,36.52,84.21,0.41,4.48,1.21,0.63,2.21,1.01,2.33,10.02,Brook Lopez,2018,31,Brook Lopez@@@2019,2018-2019_lopezbr01_regular_season_box_scores.csv,Milwaukee Bucks,"$12,093,023",C
24.32,2.97,18,2085.23,42.14,35.41,85.81,0.39,6.48,5.68,2.16,0.42,4.06,2.39,16.77,Paul George,2021,31,Paul George@@@2022,2021-2022_georgpa01_regular_season_box_scores.csv,LA Clippers,"$42,492,492",F
11.63,0.59,27,1782.53,40.13,36.2,79.5,0.82,3.9,6.4,1.38,0.35,2.31,3.21,10.66,Kyle Lowry,2012,26,Kyle Lowry@@@2013,2012-2013_lowryky01_regular_season_box_scores.csv,Toronto Raptors,"$6,210,000",PG
4.5,-5.25,2,781.58,38.0,0.0,80.0,0.58,1.17,0.92,0.08,0.0,0.75,1.83,2.08,Nikola Pekovic,2015,26,Nikola Pekovic@@@2016,2015-2016_pekovni01_regular_season_box_scores.csv,Minnesota Timberwolves,"$12,100,000",C
10.16,-1.81,36,1776.28,40.27,29.44,77.44,0.3,2.28,3.84,1.52,0.12,2.16,3.14,7.17,Mario Chalmers,2014,28,Mario Chalmers@@@2015,2014-2015_chalmma01_regular_season_box_scores.csv,Memphis Grizzlies,"$4,300,000",G
15.16,-0.56,11,1836.8,43.31,38.82,79.57,0.8,4.36,6.56,1.28,0.32,2.92,2.64,12.23,Tyreke Evans,2015,27,Tyreke Evans@@@2016,2015-2016_evansty01_regular_season_box_scores.csv,Sacramento Kings,"$10,203,755",G
21.57,7.25,40,2042.25,49.33,33.63,76.01,1.84,6.31,4.92,0.93,0.36,2.33,2.57,17.36,Blake Griffin,2016,30,Blake Griffin@@@2017,2016-2017_griffbl01_regular_season_box_scores.csv,Detroit Pistons,"$32,088,932",PF
16.3,-3.91,20,2169.24,42.28,7.14,78.86,0.73,3.82,8.03,1.44,0.86,3.86,2.08,13.22,John Wall,2011,21,John Wall@@@2012,2011-2012_walljo01_regular_season_box_scores.csv,Washington Wizards,"$7,459,925",PG
10.27,-1.22,32,1623.65,53.93,0.0,79.5,3.27,4.07,1.39,0.2,1.57,1.62,2.22,9.47,Robin Lopez,2015,27,Robin Lopez@@@2016,2015-2016_lopezro01_regular_season_box_scores.csv,Chicago Bulls,"$13,219,250",C
6.14,1.11,33,1216.98,42.02,41.3,80.49,0.52,2.11,0.66,0.3,0.23,0.36,1.28,4.58,Anthony Tolliver,2013,24,Anthony Tolliver@@@2014,2013-2014_tollian01_regular_season_box_scores.csv,Detroit Pistons,"$3,000,000",PF
26.72,7.86,57,2326.34,51.04,32.97,75.87,1.01,6.46,7.01,1.57,0.63,3.59,2.06,21.74,LeBron James,2010,26,LeBron James@@@2011,2010-2011_jamesle01_regular_season_box_scores.csv,Miami Heat,"$17,545,000",SF
16.94,6.16,50,2001.34,48.13,32.76,88.54,0.76,2.99,9.69,2.41,0.14,2.27,2.04,18.16,Chris Paul,2012,27,Chris Paul@@@2013,2012-2013_paulch01_regular_season_box_scores.csv,LA Clippers,"$18,668,431",PG
8.96,-0.77,41,1612.4,49.44,0.0,64.57,2.76,4.7,0.85,0.61,1.27,1.39,3.44,7.48,Taj Gibson,2009,20,Taj Gibson@@@2010,2009-2010_gibsota01_regular_season_box_scores.csv,Chicago Bulls,"$1,117,680",F
